,,12/6/2025,,,12/7/2025,,,12/8/2025,,,12/9/2025,,,12/10/2025,,,12/11/25,,,12/12/25,,,12/13/2025,,,12/14/2025,,,12/15/2025,,,12/16/2025,,
ITEMS,,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN
peanut butter s.,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
peanut butter big,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
mantica,cont.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
rice for lugaw,pack,3,2,1,12,1,12,,2,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10
bakers Best ,pack,85,9,76,,,76,,6,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70
PATA slice,kl.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
sipao 5kl.Dough,bag,12,2,10,,2,8,,1,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7
burger 5kl Dough ,bag,5,1,4,,1,3,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
chicken back bone ,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
shrimp cubes,pcs,0,,0,12,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12
kaong red,bot.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
peaches ,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
taco seasoning ,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
board #4,pcs,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
shrimp powder ,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
whippit ,kl.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
red velvet,kl,20,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20
pasas,kl,1,,1,,1,0,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
casheu ,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cream and tar2x,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
aluminum foil ,roll,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
mayonnaise ,galon,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
bread crumbs ,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
pickles ,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
strawberry jam,gal,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Ube Alaska Condense,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
vana Blanca ,sack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
beef tapa,pack,4,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
corn starch ,kl.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
salad cup ,pack,4,,4,,1,3,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
cake drum # 14,pcs,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cake drum #12,pcs,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
clear pack roll,pcs,100,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
EVAP ,box,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Condense ,box,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
clear cup 22 oz,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
beryl's Choco cocoa, kl.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
chocolate bar white ,bar,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
chocolate bar dark,bar,4,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
chocolate red bar,bar,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
precut tissue ,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
whole mushroom big,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
straw for shake ,pack,17,2,15,,2,13,,2,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11
bombay,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
ahos,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
patatas,kl,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
sambo container ,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
tuyo,gal,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
suka,gal,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
mocha flavor,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cookies & cream ,pack,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
asin,kl.,4,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
paminta  liso,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
coffeemate  tbsp,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
ice tea tbsp,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
candl stick,pcs,34,,34,,,34,,34,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
anchor butter ,bar,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
kare2x mix,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
rice use taas ( am.),700gms,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
rice use taas (pm.),300gms,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
tomato sauce,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
bravo evap,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
bravo condense, can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
vanilla ,L,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
black beans ,can,0,3,-3,,,-3,,,-3,,,-3,,,-3,,,-3,,,-3,,,-3,,,-3,,,-3,,,-3
creamyvit ,pack,14,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14
betsin ,pack,0,1,-1,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1
cling wrap ,roll,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
white paper,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
maling ,can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
